,accel-x,accel-y,accel-z,gyro-x,gyro-y,gyro-z,lap,special tag,,,,,
35,-0.702148438,0.783691406,0.20703125,-19.37866211,-64.84985352,12.15362549,0,0,0,1.38403E+12,1,none,Sat Nov 09 2013 15:05:46 GMT-0500 (EST)
35,-0.570800781,0.762207031,0.200195313,-17.05169678,-56.86950684,12.90130615,0,0,0,1.38403E+12,1,none,Sat Nov 09 2013 15:05:46 GMT-0500 (EST)
35,-0.533691406,0.782714844,0.240722656,-15.60974121,-63.31634521,14.10675049,0,0,0,1.38403E+12,1,none,Sat Nov 09 2013 15:05:46 GMT-0500 (EST)
35,-0.634765625,0.790039063,0.200195313,-12.58850098,-66.38336182,15.16723633,0,0,0,1.38403E+12,1,none,Sat Nov 09 2013 15:05:46 GMT-0500 (EST)
35,-0.690917969,0.801269531,0.178222656,-8.04901123,-57.3425293,14.71710205,0,0,0,1.38403E+12,1,none,Sat Nov 09 2013 15:05:46 GMT-0500 (EST)
35,-0.690429688,0.769042969,0.149414063,-3.341674805,-46.5927124,13.48114014,0,0,0,1.38403E+12,1,none,Sat Nov 09 2013 15:05:46 GMT-0500 (EST)
35,-0.688476563,0.770019531,0.161621094,0.205993652,-37.5213623,11.46697998,0,0,0,1.38403E+12,1,none,Sat Nov 09 2013 15:05:46 GMT-0500 (EST)
35,-0.692382813,0.732910156,0.201171875,4.112243652,-28.0456543,9.178161621,0,0,0,1.38403E+12,1,none,Sat Nov 09 2013 15:05:46 GMT-0500 (EST)
35,-0.708007813,0.73046875,0.2421875,6.561279297,-15.60974121,6.790161133,0,0,0,1.38403E+12,1,none,Sat Nov 09 2013 15:05:46 GMT-0500 (EST)
35,-0.749023438,0.716308594,0.272460938,9.559631348,-3.288269043,4.554748535,0,0,0,1.38403E+12,1,none,Sat Nov 09 2013 15:05:46 GMT-0500 (EST)
35,-0.76171875,0.693847656,0.294433594,11.68823242,9.521484375,2.487182617,0,0,0,1.38403E+12,1,none,Sat Nov 09 2013 15:05:46 GMT-0500 (EST)
35,-0.71484375,0.669921875,0.344726563,13.3972168,21.9039917,0.762939453,0,0,0,1.38403E+12,1,none,Sat Nov 09 2013 15:05:46 GMT-0500 (EST)
35,-0.687988281,0.657226563,0.365234375,13.36669922,31.26525879,0.48828125,0,0,0,1.38403E+12,1,none,Sat Nov 09 2013 15:05:46 GMT-0500 (EST)
35,-0.659179688,0.649902344,0.363769531,12.70294189,35.17150879,0.961303711,0,0,0,1.38403E+12,1,none,Sat Nov 09 2013 15:05:46 GMT-0500 (EST)
35,-0.633300781,0.666992188,0.34765625,11.80267334,36.59820557,0.907897949,0,0,0,1.38403E+12,1,none,Sat Nov 09 2013 15:05:46 GMT-0500 (EST)
35,-0.605957031,0.673339844,0.328613281,10.94055176,36.2701416,0.549316406,0,0,0,1.38403E+12,1,none,Sat Nov 09 2013 15:05:46 GMT-0500 (EST)
35,-0.634765625,0.690917969,0.309570313,10.97869873,35.92681885,-0.122070313,0,0,0,1.38403E+12,1,none,Sat Nov 09 2013 15:05:46 GMT-0500 (EST)
35,-0.661132813,0.692871094,0.299804688,11.31439209,39.97802734,-1.472473145,0,0,0,1.38403E+12,1,none,Sat Nov 09 2013 15:05:46 GMT-0500 (EST)
35,-0.663574219,0.689941406,0.271484375,11.9934082,44.32678223,-3.128051758,0,0,0,1.38403E+12,1,none,Sat Nov 09 2013 15:05:46 GMT-0500 (EST)
35,-0.629394531,0.686523438,0.296875,11.80267334,49.32403564,-4.196166992,0,0,0,1.38403E+12,1,none,Sat Nov 09 2013 15:05:46 GMT-0500 (EST)
35,-0.58984375,0.6796875,0.337890625,11.48223877,50.17089844,-4.570007324,0,0,0,1.38403E+12,1,none,Sat Nov 09 2013 15:05:46 GMT-0500 (EST)
35,-0.561035156,0.670898438,0.374023438,10.23101807,47.93548584,-4.371643066,0,0,0,1.38403E+12,1,none,Sat Nov 09 2013 15:05:46 GMT-0500 (EST)
35,-0.536621094,0.661621094,0.426269531,8.53729248,42.99163818,-4.135131836,0,0,0,1.38403E+12,1,none,Sat Nov 09 2013 15:05:46 GMT-0500 (EST)
35,-0.501464844,0.650878906,0.476074219,5.111694336,35.54534912,-3.471374512,0,0,0,1.38403E+12,1,none,Sat Nov 09 2013 15:05:46 GMT-0500 (EST)
35,-0.504394531,0.641601563,0.451660156,2.281188965,32.20367432,-1.792907715,0,0,0,1.38403E+12,1,none,Sat Nov 09 2013 15:05:46 GMT-0500 (EST)
35,-0.54296875,0.657714844,0.426269531,-1.037597656,29.58679199,0.465393066,0,0,0,1.38403E+12,1,none,Sat Nov 09 2013 15:05:46 GMT-0500 (EST)
35,-0.581054688,0.679199219,0.391601563,-4.028320313,29.48760986,0.907897949,0,0,0,1.38403E+12,1,none,Sat Nov 09 2013 15:05:46 GMT-0500 (EST)
35,-0.583984375,0.701660156,0.353027344,-6.530761719,33.29467773,-0.701904297,0,0,0,1.38403E+12,1,none,Sat Nov 09 2013 15:05:46 GMT-0500 (EST)
35,-0.581542969,0.706054688,0.33984375,-8.491516113,39.67285156,-2.372741699,0,0,0,1.38403E+12,1,none,Sat Nov 09 2013 15:05:46 GMT-0500 (EST)
35,-0.565429688,0.705566406,0.331054688,-10.16998291,47.05047607,-3.494262695,0,0,0,1.38403E+12,1,none,Sat Nov 09 2013 15:05:47 GMT-0500 (EST)
35,-0.528808594,0.696777344,0.3359375,-12.04681396,51.45263672,-3.90625,0,0,0,1.38403E+12,1,none,Sat Nov 09 2013 15:05:47 GMT-0500 (EST)
35,-0.510253906,0.688964844,0.341796875,-14.11437988,50.99487305,-3.959655762,0,0,0,1.38403E+12,1,none,Sat Nov 09 2013 15:05:47 GMT-0500 (EST)
35,-0.517578125,0.688964844,0.333496094,-16.85333252,50.40740967,-3.410339355,0,0,0,1.38403E+12,1,none,Sat Nov 09 2013 15:05:47 GMT-0500 (EST)
35,-0.538085938,0.70703125,0.333496094,-20.19500732,50.0793457,-2.708435059,0,0,0,1.38403E+12,1,none,Sat Nov 09 2013 15:05:47 GMT-0500 (EST)
35,-0.543457031,0.725585938,0.349121094,-22.88818359,48.93493652,-1.731872559,0,0,0,1.38403E+12,1,none,Sat Nov 09 2013 15:05:47 GMT-0500 (EST)
35,-0.537109375,0.737792969,0.370605469,-25.49743652,47.54638672,-0.694274902,0,0,0,1.38403E+12,1,none,Sat Nov 09 2013 15:05:47 GMT-0500 (EST)
35,-0.541503906,0.752441406,0.371582031,-27.47344971,45.99761963,-0.122070313,0,0,0,1.38403E+12,1,none,Sat Nov 09 2013 15:05:47 GMT-0500 (EST)
35,-0.541992188,0.756347656,0.403320313,-28.79333496,47.31750488,0.129699707,0,0,0,1.38403E+12,1,none,Sat Nov 09 2013 15:05:47 GMT-0500 (EST)
35,-0.494140625,0.753417969,0.42578125,-30.18951416,44.88372803,1.495361328,0,0,0,1.38403E+12,1,none,Sat Nov 09 2013 15:05:47 GMT-0500 (EST)
35,-0.453613281,0.76171875,0.457519531,-31.5322876,40.03143311,3.799438477,0,0,0,1.38403E+12,1,none,Sat Nov 09 2013 15:05:47 GMT-0500 (EST)
35,-0.46484375,0.776855469,0.473632813,-32.47833252,30.60150146,6.09588623,0,0,0,1.38403E+12,1,none,Sat Nov 09 2013 15:05:47 GMT-0500 (EST)
35,-0.502441406,0.795410156,0.466796875,-33.33282471,24.42932129,7.57598877,0,0,0,1.38403E+12,1,none,Sat Nov 09 2013 15:05:47 GMT-0500 (EST)
35,-0.544433594,0.807617188,0.455566406,-33.88214111,22.95684814,8.255004883,0,0,0,1.38403E+12,1,none,Sat Nov 09 2013 15:05:47 GMT-0500 (EST)
35,-0.577636719,0.820800781,0.455078125,-33.66088867,25.06256104,7.827758789,0,0,0,1.38403E+12,1,none,Sat Nov 09 2013 15:05:47 GMT-0500 (EST)
35,-0.576660156,0.808105469,0.470214844,-33.203125,30.28106689,6.607055664,0,0,0,1.38403E+12,1,none,Sat Nov 09 2013 15:05:47 GMT-0500 (EST)
35,-0.562988281,0.8046875,0.478027344,-32.6385498,38.3605957,5.195617676,0,0,0,1.38403E+12,1,none,Sat Nov 09 2013 15:05:47 GMT-0500 (EST)
35,-0.55078125,0.794433594,0.477539063,-32.06634521,43.65539551,4.096984863,0,0,0,1.38403E+12,1,none,Sat Nov 09 2013 15:05:47 GMT-0500 (EST)
35,-0.535644531,0.782714844,0.471679688,-31.28814697,44.80743408,3.799438477,0,0,0,1.38403E+12,1,none,Sat Nov 09 2013 15:05:47 GMT-0500 (EST)
35,-0.5,0.789550781,0.453613281,-30.89904785,40.38238525,4.63104248,0,0,0,1.38403E+12,1,none,Sat Nov 09 2013 15:05:47 GMT-0500 (EST)
35,-0.478515625,0.804199219,0.426269531,-29.96063232,30.60913086,6.469726563,0,0,0,1.38403E+12,1,none,Sat Nov 09 2013 15:05:47 GMT-0500 (EST)
35,-0.478027344,0.812011719,0.396972656,-28.63311768,20.14160156,8.193969727,0,0,0,1.38403E+12,1,none,Sat Nov 09 2013 15:05:47 GMT-0500 (EST)
35,-0.49609375,0.822265625,0.370605469,-27.09960938,10.54382324,9.162902832,0,0,0,1.38403E+12,1,none,Sat Nov 09 2013 15:05:47 GMT-0500 (EST)
35,-0.508300781,0.818847656,0.34765625,-25.07019043,3.852844238,9.666442871,0,0,0,1.38403E+12,1,none,Sat Nov 09 2013 15:05:47 GMT-0500 (EST)
35,-0.512695313,0.808105469,0.350585938,-23.04077148,0.480651855,9.51385498,0,0,0,1.38403E+12,1,none,Sat Nov 09 2013 15:05:47 GMT-0500 (EST)
35,-0.516601563,0.801757813,0.353515625,-21.3394165,-0.755310059,9.475708008,0,0,0,1.38403E+12,1,none,Sat Nov 09 2013 15:05:47 GMT-0500 (EST)
35,-0.499023438,0.791992188,0.366210938,-19.62280273,-1.762390137,9.963989258,0,0,0,1.38403E+12,1,none,Sat Nov 09 2013 15:05:47 GMT-0500 (EST)
35,-0.479003906,0.775878906,0.377441406,-18.21899414,-2.197265625,10.20812988,0,0,0,1.38403E+12,1,none,Sat Nov 09 2013 15:05:47 GMT-0500 (EST)
35,-0.473144531,0.765625,0.375976563,-17.32635498,-2.769470215,10.11657715,0,0,0,1.38403E+12,1,none,Sat Nov 09 2013 15:05:47 GMT-0500 (EST)
35,-0.483398438,0.755859375,0.368164063,-16.72363281,-2.426147461,9.437561035,0,0,0,1.38403E+12,1,none,Sat Nov 09 2013 15:05:47 GMT-0500 (EST)
35,-0.477050781,0.764648438,0.356445313,-15.99884033,-1.556396484,8.445739746,0,0,0,1.38403E+12,1,none,Sat Nov 09 2013 15:05:47 GMT-0500 (EST)
35,-0.45703125,0.76953125,0.341796875,-15.32745361,-1.419067383,6.912231445,0,0,0,1.38403E+12,1,none,Sat Nov 09 2013 15:05:47 GMT-0500 (EST)
35,-0.450683594,0.771972656,0.33203125,-14.52636719,-1.815795898,5.477905273,0,0,0,1.38403E+12,1,none,Sat Nov 09 2013 15:05:47 GMT-0500 (EST)
35,-0.463378906,0.78125,0.315917969,-13.70239258,-2.67791748,4.402160645,0,0,0,1.38403E+12,1,none,Sat Nov 09 2013 15:05:47 GMT-0500 (EST)
35,-0.462402344,0.789550781,0.311523438,-12.93945313,-2.960205078,3.540039063,0,0,0,1.38403E+12,1,none,Sat Nov 09 2013 15:05:47 GMT-0500 (EST)
35,-0.465332031,0.7890625,0.315429688,-12.22991943,-3.295898438,3.356933594,0,0,0,1.38403E+12,1,none,Sat Nov 09 2013 15:05:47 GMT-0500 (EST)
35,-0.479980469,0.783203125,0.323242188,-11.66534424,-3.814697266,2.967834473,0,0,0,1.38403E+12,1,none,Sat Nov 09 2013 15:05:47 GMT-0500 (EST)
35,-0.482910156,0.779296875,0.329589844,-10.89477539,-4.64630127,2.777099609,0,0,0,1.38403E+12,1,none,Sat Nov 09 2013 15:05:47 GMT-0500 (EST)
35,-0.483398438,0.780273438,0.338378906,-10.30731201,-5.111694336,2.822875977,0,0,0,1.38403E+12,1,none,Sat Nov 09 2013 15:05:47 GMT-0500 (EST)
35,-0.490234375,0.780761719,0.338378906,-10.15472412,-5.13458252,2.563476563,0,0,0,1.38403E+12,1,none,Sat Nov 09 2013 15:05:47 GMT-0500 (EST)
35,-0.505859375,0.788574219,0.336914063,-9.712219238,-4.463195801,2.052307129,0,0,0,1.38403E+12,1,none,Sat Nov 09 2013 15:05:47 GMT-0500 (EST)
35,-0.495117188,0.792480469,0.338867188,-9.300231934,-3.028869629,1.396179199,0,0,0,1.38403E+12,1,none,Sat Nov 09 2013 15:05:47 GMT-0500 (EST)
35,-0.5,0.79296875,0.330078125,-8.903503418,-1.197814941,0.373840332,0,0,0,1.38403E+12,1,none,Sat Nov 09 2013 15:05:47 GMT-0500 (EST)
35,-0.506347656,0.79296875,0.321777344,-8.766174316,-1.052856445,0.144958496,0,0,0,1.38403E+12,1,none,Sat Nov 09 2013 15:05:47 GMT-0500 (EST)
35,-0.494628906,0.799316406,0.321777344,-8.689880371,-1.281738281,0.450134277,0,0,0,1.38403E+12,1,none,Sat Nov 09 2013 15:05:47 GMT-0500 (EST)
35,-0.484375,0.803222656,0.322265625,-8.438110352,-2.830505371,0.762939453,0,0,0,1.38403E+12,1,none,Sat Nov 09 2013 15:05:47 GMT-0500 (EST)
35,-0.502929688,0.799804688,0.320800781,-7.888793945,-4.592895508,1.441955566,0,0,0,1.38403E+12,1,none,Sat Nov 09 2013 15:05:47 GMT-0500 (EST)
35,-0.516601563,0.79296875,0.327636719,-7.484436035,-5.760192871,2.479553223,0,0,0,1.38403E+12,1,none,Sat Nov 09 2013 15:05:47 GMT-0500 (EST)
35,-0.520019531,0.796875,0.33203125,-7.263183594,-5.77545166,2.868652344,0,0,0,1.38403E+12,1,none,Sat Nov 09 2013 15:05:47 GMT-0500 (EST)
35,-0.520019531,0.794433594,0.334472656,-7.102966309,-4.592895508,2.799987793,0,0,0,1.38403E+12,1,none,Sat Nov 09 2013 15:05:47 GMT-0500 (EST)
35,-0.517578125,0.791503906,0.336914063,-7.011413574,-2.990722656,2.388000488,0,0,0,1.38403E+12,1,none,Sat Nov 09 2013 15:05:47 GMT-0500 (EST)
35,-0.510742188,0.791503906,0.328613281,-6.805419922,-1.312255859,2.082824707,0,0,0,1.38403E+12,1,none,Sat Nov 09 2013 15:05:47 GMT-0500 (EST)
35,-0.502441406,0.800292969,0.32421875,-6.782531738,-0.213623047,2.03704834,0,0,0,1.38403E+12,1,none,Sat Nov 09 2013 15:05:47 GMT-0500 (EST)
35,-0.502441406,0.79296875,0.321777344,-6.507873535,0.358581543,1.594543457,0,0,0,1.38403E+12,1,none,Sat Nov 09 2013 15:05:47 GMT-0500 (EST)
35,-0.511230469,0.793457031,0.314941406,-5.828857422,0.480651855,1.113891602,0,0,0,1.38403E+12,1,none,Sat Nov 09 2013 15:05:47 GMT-0500 (EST)
35,-0.504394531,0.794433594,0.317382813,-5.226135254,0.732421875,0.89263916,0,0,0,1.38403E+12,1,none,Sat Nov 09 2013 15:05:47 GMT-0500 (EST)
35,-0.489746094,0.793457031,0.318847656,-4.692077637,0.801086426,0.839233398,0,0,0,1.38403E+12,1,none,Sat Nov 09 2013 15:05:47 GMT-0500 (EST)
35,-0.501464844,0.791015625,0.315917969,-4.402160645,-0.450134277,0.946044922,0,0,0,1.38403E+12,1,none,Sat Nov 09 2013 15:05:47 GMT-0500 (EST)
35,-0.505859375,0.793457031,0.319824219,-4.07409668,-1.426696777,1.197814941,0,0,0,1.38403E+12,1,none,Sat Nov 09 2013 15:05:47 GMT-0500 (EST)
35,-0.502929688,0.803710938,0.313964844,-3.761291504,-1.754760742,1.396179199,0,0,0,1.38403E+12,1,none,Sat Nov 09 2013 15:05:47 GMT-0500 (EST)
35,-0.517089844,0.804199219,0.318359375,-3.303527832,-1.586914063,1.579284668,0,0,0,1.38403E+12,1,none,Sat Nov 09 2013 15:05:47 GMT-0500 (EST)
35,-0.523925781,0.805664063,0.3125,-2.60925293,-0.679016113,1.243591309,0,0,0,1.38403E+12,1,none,Sat Nov 09 2013 15:05:47 GMT-0500 (EST)
35,-0.528320313,0.803710938,0.313476563,-2.067565918,0.595092773,0.991821289,0,0,0,1.38403E+12,1,none,Sat Nov 09 2013 15:05:48 GMT-0500 (EST)
35,-0.520996094,0.8046875,0.320800781,-1.502990723,1.235961914,0.762939453,0,0,0,1.38403E+12,1,none,Sat Nov 09 2013 15:05:48 GMT-0500 (EST)
35,-0.514160156,0.793457031,0.323242188,-1.045227051,1.098632813,0.89263916,0,0,0,1.38403E+12,1,none,Sat Nov 09 2013 15:05:48 GMT-0500 (EST)
35,-0.515136719,0.801757813,0.326660156,-0.587463379,0.785827637,1.281738281,0,0,0,1.38403E+12,1,none,Sat Nov 09 2013 15:05:48 GMT-0500 (EST)
35,-0.509765625,0.798339844,0.325683594,-0.465393066,0.679016113,1.411437988,0,0,0,1.38403E+12,1,none,Sat Nov 09 2013 15:05:48 GMT-0500 (EST)
35,-0.512207031,0.796875,0.326171875,-0.228881836,0.511169434,1.426696777,0,0,0,1.38403E+12,1,none,Sat Nov 09 2013 15:05:48 GMT-0500 (EST)
35,-0.512207031,0.791015625,0.327148438,0.137329102,0.434875488,1.525878906,0,0,0,1.38403E+12,1,none,Sat Nov 09 2013 15:05:48 GMT-0500 (EST)
35,-0.498046875,0.791503906,0.326171875,0.183105469,0.221252441,1.480102539,0,0,0,1.38403E+12,1,none,Sat Nov 09 2013 15:05:48 GMT-0500 (EST)
35,-0.5,0.788574219,0.323730469,0.053405762,0.274658203,1.663208008,0,0,0,1.38403E+12,1,none,Sat Nov 09 2013 15:05:48 GMT-0500 (EST)
35,-0.509765625,0.787109375,0.322265625,0.427246094,0,1.312255859,0,0,0,1.38403E+12,1,none,Sat Nov 09 2013 15:05:48 GMT-0500 (EST)
35,-0.512207031,0.786621094,0.313964844,0.671386719,0.205993652,1.075744629,0,0,0,1.38403E+12,1,none,Sat Nov 09 2013 15:05:48 GMT-0500 (EST)
35,-0.513183594,0.791503906,0.320800781,1.258850098,0.473022461,0.823974609,0,0,0,1.38403E+12,1,none,Sat Nov 09 2013 15:05:48 GMT-0500 (EST)
35,-0.509765625,0.792480469,0.3125,1.884460449,0.434875488,0.72479248,0,0,0,1.38403E+12,1,none,Sat Nov 09 2013 15:05:48 GMT-0500 (EST)
35,-0.5078125,0.779296875,0.323730469,2.342224121,0.099182129,0.762939453,0,0,0,1.38403E+12,1,none,Sat Nov 09 2013 15:05:48 GMT-0500 (EST)
35,-0.502441406,0.779785156,0.333496094,2.639770508,-0.793457031,0.839233398,0,0,0,1.38403E+12,1,none,Sat Nov 09 2013 15:05:48 GMT-0500 (EST)
35,-0.498535156,0.780273438,0.333984375,2.738952637,-1.831054688,1.190185547,0,0,0,1.38403E+12,1,none,Sat Nov 09 2013 15:05:48 GMT-0500 (EST)
35,-0.517578125,0.784667969,0.323730469,2.593994141,-1.846313477,1.495361328,0,0,0,1.38403E+12,1,none,Sat Nov 09 2013 15:05:48 GMT-0500 (EST)
35,-0.514160156,0.787597656,0.335449219,2.548217773,-1.106262207,1.29699707,0,0,0,1.38403E+12,1,none,Sat Nov 09 2013 15:05:48 GMT-0500 (EST)
35,-0.502929688,0.782226563,0.334960938,2.593994141,-0.106811523,0.991821289,0,0,0,1.38403E+12,1,none,Sat Nov 09 2013 15:05:48 GMT-0500 (EST)
35,-0.49609375,0.778320313,0.343261719,2.471923828,0.183105469,1.06048584,0,0,0,1.38403E+12,1,none,Sat Nov 09 2013 15:05:48 GMT-0500 (EST)
35,-0.495117188,0.775878906,0.345703125,2.326965332,-0.08392334,1.22833252,0,0,0,1.38403E+12,1,none,Sat Nov 09 2013 15:05:48 GMT-0500 (EST)
